Country/Region,Capital,Continent,Population,Land Area (km^2),,,,
Marshall Islands,Majuro,Oceania,"59,190",180,,,,
Mauritania,Nouakchott,Africa,"4,649,658","1,030,700",,,,
Mauritius,Port Louis,Africa,"1,271,768","2,030",,,,
Mexico,Mexico City,America,"128,932,753","1,943,950",,,,
Micronesia,Palikir,Oceania,"548,914",700,,,,
Moldova,Chisinau,Europe,"4,033,963","32,850",,,,
Monaco,Monaco,Europe,"39,242",1,,,,
Mongolia,Ulaanbaatar,Asia,"3,278,290","1,553,560",,,,
Montenegro,Podgorica,Europe,"628,066","13,450",,,,
Morocco,Rabat,Africa,"36,910,560","446,300",,,,
Mozambique,Maputo,Africa,"31,255,435","786,380",,,,
Myanmar,Naypyidaw,Asia,"54,409,800","653,290",,,,
Namibia,Windhoek,Africa,"2,540,905","823,290",,,,
Nauru,Yaren,Oceania,"10,824",20,,,,
Nepal,Kathmandu,Asia,"29,136,808","143,350",,,,
Netherlands,Amsterdam,Europe,"17,134,872","33,720",,,,
New Zealand,Wellington,Oceania,"4,822,233","263,310",,,,
Nicaragua,Managua,America,"6,624,554","120,340",,,,
Niger,Niamey,Africa,"24,206,644","1,266,700",,,,
Nigeria,Abuja,Africa,"206,139,589","910,770",,,,
North Macedonia,Skopje,Europe,"25,778,816","120,410",,,,
Norway,Oslo,Europe,"2,083,374","25,220",,,,
Oman,Muscat,Asia,"5,421,241","365,268",,,,
Pakistan,Islamabad,Asia,"5,106,626","309,500",,,,
Palau,Melekeok,Oceania,"220,892,340","770,880",,,,
Palestine,East Jerusalem,Asia,"18,094",460,,,,
Panama,Panama City,America,"4,314,767","74,340",,,,
Papua New Guinea,Port Moresby,Oceania,"8,947,024","452,860",,,,
Paraguay,Asunción,America,"7,132,538","397,300",,,,
Peru,Lima,America,"32,971,854","1,280,000",,,,
Philippines,Manila,Asia,"109,581,078","298,170",,,,
Poland,Warsaw,Europe,"37,846,611","306,230",,,,
Portugal,Lisbon,Europe,"10,196,709","91,590",,,,
Qatar,Doha,Asia,"2,881,053","11,610",,,,
Romania,Bucharest,Europe,"19,237,691","230,170",,,,
Russia,Moscow,Europe,"145,934,462","16,376,870",,,,
Rwanda,Kigali,Africa,"12,952,218","24,670",,,,
Saint Kitts and Nevis,Basseterre,America,"53,199",260,,,,
Saint Lucia,Castries,America,"183,627",610,,,,
Samoa,Apia,Oceania,"198,414","2,830",,,,
